[2025-07-18 20:50:29] [EasyTrainerLogger] Logger initialized. Writing to log_2.txt and log_current.txt
[2025-07-18 20:50:29] [EasyTrainerInit] Starting initialization
[2025-07-18 20:50:29] [EasyTrainerInit] Performing data dumps and loading to memory.
[2025-07-18 20:50:29] [EasyTrainerWeaponLoader] Loaded 1778 weapons.
[2025-07-18 20:50:30] [EasyTrainerVehicleLoader] Loaded 534 vehicles (Injected 0 new).
[2025-07-18 20:50:30] Silencio (Items.MeleeMod3_Common) | Common | Unknown | itemPart, WeaponMod, MeleeMod, Common
[2025-07-18 20:50:30] Surgical Scissors (Items.GenericJunkItem19) | Unknown | Junk | Junk
[2025-07-18 20:50:30] Smart Link (Items.AdvancedSmartLink_Tutorial_Rare) | Rare | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:30] Handle Wrap (Items.AdvancedKnifeSharpenerRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.ChaoVooDooWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:30] Unknown (Items.q115_embers_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.generic_enforcer_handbook_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Sensory Amplifier (Items.ArmsCyberwareSharedFragment4) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.generic_community_03_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Spring Joints (Items.AdvancedAgileJointsEpic2Plus) | Epic | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:30] Unknown (Items.generic_all_foods_leaflet_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Shock Absorber (Items.AdvancedJointLockLegendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.head_bucket) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Reflex Tuner (Items.AdvancedReflexRecorderCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Militech Paraline (Items.AdvancedLegendaryLowEnergyDeck) | Legendary | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:30] Unknown (Items.ImmuneSystemModule) | Unknown | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Bionic Lungs (Items.EnhancedTissueRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.sts_bls_ina_05_shard_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Car Battery Cable (Items.q103_car_battery_cable) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] CS-1 Taipan (Items.w_silencer_01_Craftable) | Unknown | Muzzle | itemPart, WeaponMod, Silenced, AirDropReward, Tier1-4
[2025-07-18 20:50:30] Painducer (Items.AdvancedBloodDepleterLegendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Kerenzikov (Items.KerenzikovCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.SmartWeaponMod02) | Unknown | Weapon Mod | itemPart, WeaponMod, DeprecatedWeaponMod, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Retrotrunk (Items.Foundingfathers_Retrotrunk) | Unknown | Miscellaneous
[2025-07-18 20:50:30] Unknown (Items.CyberwareStatsShardRare) | Rare | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.generic_q113_estate_lost_valuables) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Tetratronic Rippler Mk.5 (Items.AdvancedTetratronicRipplerMKVLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:30] Unknown (Items.PlayerWaPhotomodeHead) | Unknown | Miscellaneous | Quest, TppHead
[2025-07-18 20:50:30] Unknown (Items.ma_pac_wwd_105_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Fortified Ankles (Items.AdvancedReinforcedMusclesUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.crowd_gym_weights_a_dumbbell_large) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] TYCHO - itinerary!!! <3 (Items.q306_moon_itinerary) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Heal-On-Kill (Items.HealOnKillCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se5_09_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.AdvancedCogitoFrameStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.sa_ep1_33_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.Unit_Test03) | Unknown | Miscellaneous | Weapon, Shotgun
[2025-07-18 20:50:30] Golden Chain (Items.GenericGangJunkItem1) | Unknown | Junk | Junk, NoVisuals
[2025-07-18 20:50:30] Immovable Force (Items.IconicGunStabilizerRarePlus) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] Warning (Items.mq029_james_note) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor, Quest
[2025-07-18 20:50:30] Universal Booster (Items.AdvancedPainDistributorEpic2) | Epic | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:30] Unknown (Items.ma_cct_cpz_03_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.SimpleWeaponMod13) | Unknown | Weapon Mod | itemPart, WeaponMod, DeprecatedWeaponMod, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Shard (Items.ma_pac_cvi_07_shard_A) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] Unknown (Items.w_sticky_delivery) | Unknown | Unknown | itemPart
[2025-07-18 20:50:30] Unknown (Items.ma_std_rcr_13_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sa_ep1_30_shard_002) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.NekomataBreakthroughWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:30] Raven Microcyber Mk.2 (Items.AdvancedRavenMicrocyberMKIIEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:30] Chitin (Items.IconicAdvancedChitonUncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] Gaki (Items.w_att_scope_sniper_03_legendary) | Unknown | Unknown | itemPart, WeaponMod, SniperScope, AirDropReward, LegendaryAttachment
[2025-07-18 20:50:30] !OBSOLETE (Items.mq304_pay_up_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.AdvancedMantisBladesChemicalStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:30] Gambiteer (Items.SmartMod2_Uncommon) | Uncommon | Unknown | itemPart, WeaponMod, RangedMod, Smart, Uncommon
[2025-07-18 20:50:30] Unknown (Items.ep1_generic_turist_guide_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Ballistic Coprocessor (Items.AdvancedPowerGrip_q001_3) | Unknown | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:30] Militech Paraline (Items.AdvancedLegendaryMidEnergyDeck) | Legendary | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:30] Kiroshi \"Sentry\" Optics (Items.AdvancedKiroshiOpticsSensorLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.sq024_race_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_wbr_nok_05_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Report fragment: \"Dogtown - acquisition and revitalization. Risks and benefits.\" (Items.q305_developer_raport_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.generic_masked_hero_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] RAM Recoup (Items.AdvancedCompilingSkeletonRare2) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se5_05_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.wst_ep1_17_shard_002) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] What’re you waiting for? (Items.q301_wtc_dead_mans_diary) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_wat_kab_03_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_cct_dtn_09_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Adrenaline Converter (Items.AdvancedDetectorRushUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Sandevistan: Overclocked Processor (Items.SandevistanFragment1) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.w_smg__midnight_borg__rcv1) | Unknown | Unknown | itemPart
[2025-07-18 20:50:30] Unknown (Items.generic_club_reviews_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ep1_generic_lily_fanfiction_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Spring Joints (Items.AdvancedAgileJointsUncommon2) | Uncommon | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:30] Unknown (Items.WraithsMeleeWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod, DeprecatedWeaponMod, HideInUI, HideAtVendor, FactionItem
[2025-07-18 20:50:30] Unknown (Items.sts_wat_kab_04_shard_003) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_01_shard_patient) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.crowd_int_medical_002__syringe) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Dense Marrow (Items.AdvancedDenseMarrowEpic2) | Epic | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:30] Me-thrill (Items.SimpleFabricEnhancer12) | Unknown | Miscellaneous | itemPart, FabricEnhancer, DeprecatedFabricEnhancer, HideInUI, HideAtVendor, DummyPart
[2025-07-18 20:50:30] Unknown (Items.generic_q113_estate_snipers) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se5_32_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.w_revolver__darra_quasar__rcv1) | Unknown | Unknown | itemPart
[2025-07-18 20:50:30] RangeGuard (Items.AdvancedChargeSystemRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Hanafuda Cards (Items.TygerClawsJunkItem3) | Unknown | Junk | Junk, FactionItem, TygerClaws, NoVisuals
[2025-07-18 20:50:30] Unknown (Items.AuroraReplacerTppHead) | Unknown | Miscellaneous | Quest, TppHead
[2025-07-18 20:50:30] Unknown (Items.q306_drink_bottle_water_a) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Unknown (Items.ma_wat_lch_07_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.Cyberware) | Unknown | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.CraftingPart) | Unknown | Crafting Material | CraftingPart, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.crowd__bottle_k_beer) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Kiroshi \"Clairvoyant\" Optics (Items.AdvancedKiroshiOpticsWallhackLegendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.ma_wbr_hil_02_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Cogito Lattice (Items.AdvancedCogitoFrameCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Mechatronic Core (Items.AdvancedMechatronicCoreEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.w_handgun__budget_slaughtomatic__mag_std) | Unknown | Magazine | itemPart
[2025-07-18 20:50:30] Unknown (Items.mq025_boxing_twins_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_04_shard_004) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ep1_growl_13) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se1_18_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_07_shard_007) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_cct_dtn_02_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Dogtown Showdown (Items.mq306_boxing_matches) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.GwentTiconWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:30] Unknown (Items.we_ep1_05_shard_004) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Isometric Stabilizer (Items.IconicShockAbsorberRarePlus) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] Unknown (Items.sa_ep1_09_shard_002) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.crowd_kitchen_tray_a) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Unknown (Items.RaffenSaratogaWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:30] Optical Camo (Items.AdvancedOpticalCamoEpic) | Epic | Unknown | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.q307_crowd_tablet_c_neo_military) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Unknown (Items.shard_wat_nid_netrunner_chat_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_std_rcr_05_shard_002) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Scarab (Items.AdvancedRapidMuscleNurishEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.mq006_body_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_hey_gle_06_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.IconicGunStabilizerStatsShard) | Iconic | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.kitchen_tray_e) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Militech Paraline (Items.AdvancedRareLowEnergyDeck) | Rare | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:30] Unknown (Items.sq012_animals_orders) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.AdvancedNanoWiresChemicalStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_02_shard_002) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
